utc_time,ric,open,high,low,close,volume,no_trades,open_bid,high_bid,low_bid,close_bid,no_bids,open_ask,high_ask,low_ask,close_ask,no_asks
1996-01-04 01:00:00,.N225,19945.68,20455.25,19945.68,20438.71,,57,,,,,,,,,,
1996-01-04 02:00:00,.N225,20449.27,20647.9,20449.27,20604.64,,60,,,,,,,,,,
1996-01-04 03:00:00,.N225,20610.13,20618.6,20610.13,20618.0,,4,,,,,,,,,,
1996-01-05 01:00:00,.N225,20577.64,20577.64,20455.75,20523.52,,59,,,,,,,,,,
1996-01-05 02:00:00,.N225,20566.97,20566.97,20456.35,20493.82,,60,,,,,,,,,,
1996-01-05 03:00:00,.N225,20501.0,20501.79,20500.8,20500.8,,3,,,,,,,,,,
1996-01-05 04:00:00,.N225,20513.75,20573.05,20507.47,20510.07,,30,,,,,,,,,,
1996-01-05 05:00:00,.N225,20506.98,20618.0,20506.68,20614.61,,60,,,,,,,,,,
1996-01-05 06:00:00,.N225,20607.53,20662.95,20563.68,20662.95,,60,,,,,,,,,,
1996-01-05 07:00:00,.N225,20667.83,20669.82,20666.53,20669.03,,4,,,,,,,,,,
1996-01-08 01:00:00,.N225,20617.1,20667.03,20543.85,20652.38,,58,,,,,,,,,,
1996-01-08 02:00:00,.N225,20647.2,20647.2,20569.66,20610.42,,60,,,,,,,,,,
1996-01-08 03:00:00,.N225,20610.03,20610.03,20608.63,20608.63,,2,,,,,,,,,,
1996-01-08 04:00:00,.N225,20570.36,20578.23,20539.17,20569.56,,30,,,,,,,,,,
1996-01-08 05:00:00,.N225,20565.38,20565.38,20471.4,20529.7,,60,,,,,,,,,,
1996-01-08 06:00:00,.N225,20513.55,20583.91,20489.64,20566.18,,60,,,,,,,,,,
1996-01-08 07:00:00,.N225,20562.59,20563.58,20560.59,20563.58,,4,,,,,,,,,,
1996-01-09 01:00:00,.N225,20564.98,20568.47,20462.83,20462.83,,58,,,,,,,,,,
1996-01-09 02:00:00,.N225,20457.94,20541.46,20454.16,20508.97,,60,,,,,,,,,,
1996-01-09 03:00:00,.N225,20516.05,20516.05,20510.27,20510.27,,3,,,,,,,,,,
1996-01-09 04:00:00,.N225,20489.93,20525.11,20470.9,20521.03,,30,,,,,,,,,,
1996-01-09 05:00:00,.N225,20538.07,20573.65,20486.75,20565.38,,60,,,,,,,,,,
1996-01-09 06:00:00,.N225,20572.15,20640.02,20530.0,20635.54,,60,,,,,,,,,,
1996-01-09 07:00:00,.N225,20642.32,20652.58,20642.32,20652.08,,5,,,,,,,,,,
1996-01-10 01:00:00,.N225,20591.59,20606.24,20459.34,20606.24,,54,,,,,,,,,,
1996-01-10 02:00:00,.N225,20611.92,20675.7,20580.03,20580.03,,60,,,,,,,,,,
1996-01-10 03:00:00,.N225,20581.22,20581.72,20581.22,20581.72,,3,,,,,,,,,,
1996-01-10 04:00:00,.N225,20578.03,20578.03,20559.7,20572.15,,30,,,,,,,,,,
1996-01-10 05:00:00,.N225,20577.14,20665.74,20575.64,20627.77,,60,,,,,,,,,,
1996-01-10 06:00:00,.N225,20631.05,20631.05,20501.89,20589.7,,60,,,,,,,,,,
1996-01-10 07:00:00,.N225,20588.3,20612.32,20588.3,20612.32,,5,,,,,,,,,,
